Value,R,G,B
0,1548,672,6500
1,422,267,1829
2,443,339,3173
3,666,409,2876
4,860,379,1709
5,1321,335,1193
6,1685,231,1014
7,2191,230,896
8,2377,253,830
9,2484,263,728
10,2131,301,643
11,2140,318,613
12,1850,389,545
13,2138,422,501
14,2425,546,469
15,1957,757,443
16,2075,1113,414
17,1911,765,320
18,1903,699,360
19,1807,652,343
20,1785,717,352
21,1769,737,360
22,1749,769,386
23,1813,764,383
24,1775,915,418
25,1726,964,436
26,1700,920,521
27,1740,973,505
28,1653,1035,548
29,1661,1087,650
30,1624,1177,823
31,1644,1020,1085
32,1674,1044,716
33,1633,1031,736
34,1688,1073,735
35,1617,1154,753
36,1621,1244,777
37,1682,1274,868
38,1736,1365,862
39,1765,1200,1028
40,1780,1369,970
41,1866,1382,1001
42,1913,1303,1081
43,1883,1361,1020
44,1921,1309,1166
45,1864,1240,1170
46,1810,1252,1298
47,1911,1320,1286
48,1892,1204,1385
49,1771,1224,1457
50,1690,1164,1639
51,1628,1209,1729
52,1517,1242,1914
53,1494,1285,2026
54,1352,1376,1868
55,1444,1385,1687
56,1410,1513,1528
57,1475,1667,1581
58,1438,1752,1523
59,1441,1787,1520
60,1471,1737,1503
61,1478,1767,1444
62,1513,1629,1429
63,1554,1569,1461
64,1532,1502,1473
65,1583,1455,1427
66,1505,1456,1371
67,1456,1266,1411
68,1518,1210,1386
69,1623,1292,1416
70,1623,1227,1399
71,1543,1338,1471
72,1664,1441,1429
73,1532,1760,1350
74,1647,2387,1482
75,1595,3130,1431
76,1619,3845,1431
77,1869,4072,1478
78,1862,3776,1488
79,2091,3202,1522
80,2411,2684,1569
81,2883,2355,1412
82,3292,1976,1601
83,3232,1918,1556
84,3309,1907,1460
85,3195,1735,1446
86,3377,1723,1389
87,3247,1597,1400
88,3282,1569,1369
89,3334,1491,1361
90,3153,1521,1326
91,3156,1454,1301
92,3065,1426,1253
93,3183,1412,1259
94,3198,1525,1176
95,3193,1547,1088
96,2965,1644,1108
97,2633,1730,1094
98,2524,1796,1175
99,2219,1891,1144
100,2147,2069,1156
101,2044,2259,1196
102,1926,2659,1219
103,1898,3046,1232
104,1857,3890,1398
105,1817,4708,1431
106,1748,4896,1560
107,1575,4813,1565
108,1307,4453,1620
109,1182,4276,1613
110,1121,4067,1666
111,967,3721,1705
112,881,3402,1863
113,910,3203,1954
114,939,2773,2300
115,893,2634,2741
116,817,2402,3320
117,765,2147,4032
118,808,1988,4126
119,820,1807,4164
120,781,1631,3924
121,788,1445,3971
122,748,1336,3685
123,818,1245,3455
124,859,1171,3125
125,831,1080,2505
126,947,1051,2353
127,1045,944,2066
128,1412,844,1853
129,2126,819,1823
130,2313,807,1548
131,2220,825,1397
132,1547,783,1319
133,1358,721,1237
134,1011,764,1104
135,892,726,1067
136,832,727,1072
137,760,662,996
138,699,633,1011
139,689,669,1050
140,694,708,957
141,686,720,975
142,678,729,940
143,666,775,920
144,663,844,853
145,638,818,844
146,630,815,778
147,619,1001,780
148,686,1147,720
149,678,1348,719
150,567,1672,687
151,671,1875,645
152,601,1753,602
153,568,1339,574
154,585,936,547
155,583,749,574
156,524,595,560
157,506,562,536
158,484,529,516
159,501,533,535
160,461,485,506
161,380,499,498
162,403,478,456
163,398,545,444
164,309,526,450
165,349,531,398
166,332,621,447
167,342,659,391
168,338,684,383
169,317,704,419
170,322,762,386
171,323,908,379
172,329,884,377
173,323,925,374
174,353,965,385
175,385,922,386
176,377,1159,358
177,436,1483,356
178,493,2276,363
179,546,2573,318
180,632,2368,333
181,830,1567,385
182,1024,1116,336
183,1501,830,342
184,1280,774,365
185,982,691,347
186,718,669,343
187,484,595,331
188,394,562,340
189,417,569,357
190,367,556,330
191,452,574,385
192,746,546,382
193,383,568,375
194,373,598,434
195,292,606,421
196,270,611,461
197,234,604,440
198,276,526,457
199,228,491,502
200,243,409,526
201,201,441,553
202,209,397,767
203,188,391,990
204,194,409,1344
205,196,415,1965
206,182,371,2494
207,189,372,2903
208,154,363,3030
209,161,372,3030
210,172,437,2843
211,174,458,2456
212,143,485,2002
213,148,505,1637
214,139,586,1490
215,144,701,1187
216,148,753,1107
217,166,913,976
218,143,1126,1002
219,148,1639,928
220,161,2362,976
221,183,3105,1038
222,183,4536,1030
223,175,3582,1108
224,168,2446,1071
225,178,1101,1063
226,194,583,1082
227,222,355,993
228,228,244,1075
229,231,225,992
230,241,177,1036
231,244,173,975
232,273,152,1177
233,308,143,1123
234,310,134,1508
235,331,140,1739
236,313,139,2277
237,341,127,2375
238,337,141,2431
239,372,151,1756
240,390,146,1391
241,418,141,1318
242,451,145,1465
243,487,174,985
244,589,187,795
245,683,185,737
246,931,196,691
247,1200,238,658
248,1584,240,573
249,1914,282,522
250,2332,325,458
251,3368,398,426
252,4381,753,343
253,2206,426,349
254,912,316,294
255,1176,826,1237
