Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,5,0
23,13,0
24,31,0
25,52,0
26,80,0
27,581,0
28,4691,0
29,10329,0
30,9792,0
31,7858,0
32,7895,0
33,8120,0
34,7170,0
35,6674,0
36,6185,0
37,5599,0
38,5188,0
39,4619,0
40,3518,0
41,2860,0
42,2791,0
43,2311,0
44,2374,0
45,2296,0
46,2295,0
47,1852,0
48,1575,0
49,1570,0
50,1435,0
51,1445,0
52,1443,0
53,1293,0
54,982,0
55,701,0
56,665,0
57,608,0
58,576,0
59,640,0
60,629,0
61,549,0
62,428,0
63,299,0
64,262,1
65,212,2
66,175,1
67,159,1
68,157,2
69,123,3
70,128,4
71,138,1
72,137,1
73,128,4
74,100,2
75,94,4
76,85,3
77,69,2
78,74,7
79,79,2
80,71,4
81,60,7
82,57,5
83,44,4
84,53,14
85,43,13
86,47,9
87,41,17
88,41,16
89,32,25
90,31,22
91,35,43
92,34,69
93,35,76
94,35,128
95,24,201
96,28,264
97,39,368
98,24,456
99,33,534
100,31,780
101,30,985
102,36,1196
103,34,1583
104,32,2051
105,38,2427
106,31,2168
107,35,2723
108,41,3091
109,35,2912
110,43,3556
111,42,4012
112,48,4049
113,36,3600
114,57,3532
115,60,3372
116,45,3112
117,74,2741
118,146,2018
119,232,1103
120,373,602
121,767,293
122,815,133
123,409,84
124,211,49
125,134,54
126,78,55
127,53,68
128,25,84
129,16,122
130,26,153
131,36,231
132,30,389
133,26,531
134,29,461
135,37,420
136,43,325
137,39,237
138,47,156
139,57,138
140,85,84
141,122,76
142,147,59
143,177,60
144,242,50
145,323,52
146,356,63
147,447,57
148,659,53
149,785,44
150,995,45
151,1090,51
152,1179,64
153,1137,61
154,1051,64
155,986,58
156,1050,74
157,1038,57
158,1116,77
159,1071,71
160,1010,76
161,1021,77
162,958,73
163,996,99
164,941,98
165,1126,124
166,1245,132
167,1477,187
168,1758,167
169,3309,227
170,6698,258
171,6878,320
172,4613,713
173,7276,2425
174,835,10918
175,32,11813
176,0,9631
177,0,10928
178,0,16470
179,0,20901
180,0,21011
181,0,10272
182,0,3791
183,0,1241
184,0,331
185,0,89
186,0,31
187,0,9
188,0,4
189,0,2
190,0,0
191,0,1
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
